# Station: FINO2
# Parameter: winddirection_vane_51m_0deg
# Unit: degree
# Titles:
Time	Value	Deviation	Quality
# Data:
2020-10-04 20:35:00	205	-99.999	2
2020-10-04 20:45:00	201	-99.999	2
2020-10-04 20:55:00	198	-99.999	2
2020-10-04 21:05:00	198	-99.999	2
2020-10-04 21:15:00	202	-99.999	2
2020-10-04 21:25:00	199	-99.999	2
2020-10-04 21:35:00	198	-99.999	2
2020-10-04 21:45:00	202	-99.999	2
2020-10-04 21:55:00	206	-99.999	2
2020-10-04 22:05:00	207	-99.999	2
2020-10-04 22:15:00	208	-99.999	2
2020-10-04 22:25:00	218	-99.999	2
2020-10-04 22:35:00	209	-99.999	2
2020-10-04 22:45:00	204	-99.999	2
2020-10-04 22:55:00	209	-99.999	2
2020-10-04 23:05:00	215	-99.999	2
2020-10-04 23:15:00	206	-99.999	2
2020-10-04 23:25:00	201	-99.999	2
2020-10-04 23:35:00	198	-99.999	2
2020-10-04 23:45:00	196	-99.999	2
2020-10-04 23:55:00	198	-99.999	2
2020-10-05 00:05:00	196	-99.999	2
2020-10-05 00:15:00	191	-99.999	2
2020-10-05 00:25:00	180	-99.999	2
2020-10-05 00:35:00	179	-99.999	2
2020-10-05 00:45:00	179	-99.999	2
2020-10-05 00:55:00	182	-99.999	2
2020-10-05 01:05:00	180	-99.999	2
2020-10-05 01:15:00	182	-99.999	2
2020-10-05 01:25:00	182	-99.999	2
2020-10-05 01:35:00	185	-99.999	2
2020-10-05 01:45:00	183	-99.999	2
2020-10-05 01:55:00	176	-99.999	2
2020-10-05 02:05:00	170	-99.999	2
2020-10-05 02:15:00	171	-99.999	2
2020-10-05 02:25:00	167	-99.999	2
2020-10-05 02:35:00	166	-99.999	2
2020-10-05 02:45:00	167	-99.999	2
2020-10-05 02:55:00	163	-99.999	2
2020-10-05 03:05:00	166	-99.999	2
2020-10-05 03:15:00	163	-99.999	2
2020-10-05 03:25:00	158	-99.999	2
2020-10-05 03:35:00	151	-99.999	2
2020-10-05 03:45:00	145	-99.999	2
2020-10-05 03:55:00	144	-99.999	2
2020-10-05 04:05:00	145	-99.999	2
2020-10-05 04:15:00	145	-99.999	2
2020-10-05 04:25:00	146	-99.999	2
2020-10-05 04:35:00	148	-99.999	2
2020-10-05 04:45:00	145	-99.999	2
2020-10-05 04:55:00	143	-99.999	2
2020-10-05 05:05:00	138	-99.999	2
2020-10-05 05:15:00	141	-99.999	2
2020-10-05 05:25:00	142	-99.999	2
2020-10-05 05:35:00	139	-99.999	2
2020-10-05 05:45:00	137	-99.999	2
2020-10-05 05:55:00	135	-99.999	2
2020-10-05 06:05:00	132	-99.999	2
2020-10-05 06:15:00	133	-99.999	2
2020-10-05 06:25:00	132	-99.999	2
2020-10-05 06:35:00	133	-99.999	2
2020-10-05 06:45:00	133	-99.999	2
2020-10-05 06:55:00	131	-99.999	2
2020-10-05 07:05:00	131	-99.999	2
2020-10-05 07:15:00	137	-99.999	2
2020-10-05 07:25:00	141	-99.999	2
2020-10-05 07:35:00	137	-99.999	2
2020-10-05 07:45:00	138	-99.999	2
2020-10-05 07:55:00	136	-99.999	2
2020-10-05 08:05:00	135	-99.999	2
2020-10-05 08:15:00	137	-99.999	2
2020-10-05 08:25:00	139	-99.999	2
2020-10-05 08:35:00	135	-99.999	2
2020-10-05 08:45:00	137	-99.999	2
2020-10-05 08:55:00	131	-99.999	2
2020-10-05 09:05:00	127	-99.999	2
2020-10-05 09:15:00	127	-99.999	2
2020-10-05 09:25:00	123	-99.999	2
2020-10-05 09:35:00	120	-99.999	2
2020-10-05 09:45:00	118	-99.999	2
2020-10-05 09:55:00	113	-99.999	2
2020-10-05 10:05:00	110	-99.999	2
2020-10-05 10:15:00	106	-99.999	2
2020-10-05 10:25:00	102	-99.999	2
2020-10-05 10:35:00	101	-99.999	2
2020-10-05 10:45:00	102	-99.999	2
2020-10-05 10:55:00	104	-99.999	2
2020-10-05 11:05:00	102	-99.999	2
2020-10-05 11:15:00	101	-99.999	2
2020-10-05 11:25:00	101	-99.999	2
2020-10-05 11:35:00	100	-99.999	2
2020-10-05 11:45:00	100	-99.999	2
2020-10-05 11:55:00	97	-99.999	2
2020-10-05 12:05:00	96	-99.999	2
2020-10-05 12:15:00	98	-99.999	2
2020-10-05 12:25:00	95	-99.999	2
2020-10-05 12:35:00	93	-99.999	2
2020-10-05 12:45:00	98	-99.999	2
2020-10-05 12:55:00	99	-99.999	2
2020-10-05 13:05:00	102	-99.999	2
2020-10-05 13:15:00	105	-99.999	2
2020-10-05 13:25:00	105	-99.999	2
2020-10-05 13:35:00	97	-99.999	2
2020-10-05 13:45:00	92	-99.999	2
2020-10-05 13:55:00	90	-99.999	2
2020-10-05 14:05:00	94	-99.999	2
2020-10-05 14:15:00	97	-99.999	2
2020-10-05 14:25:00	93	-99.999	2
2020-10-05 14:35:00	98	-99.999	2
2020-10-05 14:45:00	101	-99.999	2
2020-10-05 14:55:00	102	-99.999	2
2020-10-05 15:05:00	100	-99.999	2
2020-10-05 15:15:00	94	-99.999	2
2020-10-05 15:25:00	90	-99.999	2
2020-10-05 15:35:00	99	-99.999	2
2020-10-05 15:45:00	92	-99.999	2
2020-10-05 15:55:00	91	-99.999	2
2020-10-05 16:05:00	95	-99.999	2
2020-10-05 16:15:00	104	-99.999	2
2020-10-05 16:25:00	103	-99.999	2
2020-10-05 16:35:00	107	-99.999	2
2020-10-05 16:45:00	109	-99.999	2
2020-10-05 16:55:00	108	-99.999	2
2020-10-05 17:05:00	104	-99.999	2
2020-10-05 17:15:00	102	-99.999	2
2020-10-05 17:25:00	106	-99.999	2
2020-10-05 17:35:00	106	-99.999	2
2020-10-05 17:45:00	107	-99.999	2
2020-10-05 17:55:00	108	-99.999	2
2020-10-05 18:05:00	107	-99.999	2
2020-10-05 18:15:00	108	-99.999	2
2020-10-05 18:25:00	113	-99.999	2
2020-10-05 18:35:00	118	-99.999	2
2020-10-05 18:45:00	112	-99.999	2
2020-10-05 18:55:00	108	-99.999	2
2020-10-05 19:05:00	115	-99.999	2
2020-10-05 19:15:00	110	-99.999	2
2020-10-05 19:25:00	113	-99.999	2
2020-10-05 19:35:00	120	-99.999	2
2020-10-05 19:45:00	132	-99.999	2
2020-10-05 19:55:00	137	-99.999	2
2020-10-05 20:05:00	136	-99.999	2
2020-10-05 20:15:00	131	-99.999	2
2020-10-05 20:25:00	129	-99.999	2
